Execution time: 1638653; Thread index: 1;
Execution time: 1638799; Thread index: 2;
Execution time: 1647123; Thread index: 1;
Execution time: 1647388; Thread index: 2;
Execution time: 1647422; Thread index: 3;
Execution time: 1655953; Thread index: 1;
Execution time: 1656296; Thread index: 2;
Execution time: 1656350; Thread index: 3;
Execution time: 1668328; Thread index: 3;
Execution time: 1668513; Thread index: 1;
Execution time: 1668535; Thread index: 2;
Execution time: 1677272; Thread index: 3;
Execution time: 1677308; Thread index: 1;
Execution time: 1677519; Thread index: 2;
Execution time: 1686688; Thread index: 1;
Execution time: 1686866; Thread index: 2;
Execution time: 1686971; Thread index: 3;
Execution time: 1695319; Thread index: 1;
Execution time: 1695627; Thread index: 2;
Execution time: 1695712; Thread index: 3;
Execution time: 1704471; Thread index: 1;
Execution time: 1704709; Thread index: 2;
Execution time: 1704755; Thread index: 3;
Execution time: 1713060; Thread index: 1;
Execution time: 1713377; Thread index: 2;
Execution time: 1713446; Thread index: 3;
Execution time: 1721868; Thread index: 1;
Execution time: 1722054; Thread index: 2;
Execution time: 1722115; Thread index: 3;
Execution time: 1730429; Thread index: 1;
Execution time: 1730705; Thread index: 3;
Execution time: 1730734; Thread index: 2;
Execution time: 1739983; Thread index: 1;
Execution time: 1740184; Thread index: 2;
Execution time: 1740203; Thread index: 3;
Execution time: 1751110; Thread index: 1;
Execution time: 1751117; Thread index: 3;
Execution time: 1751318; Thread index: 2;
Execution time: 1759637; Thread index: 3;
Execution time: 1759715; Thread index: 1;
Execution time: 1759848; Thread index: 2;
Execution time: 1768367; Thread index: 2;
Execution time: 1768400; Thread index: 1;
Execution time: 1768557; Thread index: 3;
Execution time: 1776886; Thread index: 1;
Execution time: 1777103; Thread index: 2;
Execution time: 1777124; Thread index: 3;
Execution time: 1785971; Thread index: 2;
Execution time: 1786032; Thread index: 1;
Execution time: 1786188; Thread index: 3;
Execution time: 1794844; Thread index: 1;
Execution time: 1795014; Thread index: 2;
Execution time: 1795195; Thread index: 3;
Execution time: 1803837; Thread index: 1;
Execution time: 1804117; Thread index: 3;
Execution time: 1804117; Thread index: 2;
Execution time: 1813831; Thread index: 2;
Execution time: 1813919; Thread index: 1;
Execution time: 1814030; Thread index: 3;
Execution time: 1822614; Thread index: 3;
Execution time: 1822657; Thread index: 1;
Execution time: 1822801; Thread index: 2;
Execution time: 1831768; Thread index: 2;
Execution time: 1831898; Thread index: 1;
Execution time: 1831975; Thread index: 3;
